track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,song_length
0L7SCj8D5YIAQJP8hjayAv,0.553,0.671,5,-7.067,1,0.112,0.528,3.74e-06,0.13,0.424,89.871,4,263.8
5MzXUNfn8AAcz4Z6j2KgTK,0.383,0.43,10,-8.644,1,0.0302,0.817,1.04e-06,0.0869,0.174,107.005,4,280.757
4aWmUDTfIPGksMNLV2rQP2,0.66,0.786,2,-4.757,1,0.17,0.209,0.0,0.112,0.846,177.833,4,228.2
2WXTF0qgKbczC2O8VymeLO,0.467,0.765,6,-7.846,1,0.0311,0.00416,5.93e-05,0.708,0.186,125.013,4,278.267
7qiZfU4dY1lWllzX7mPBI3,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,4,233.713
2Oehrcv4Kov0SuIgWyQY9e,0.327,0.71,3,-2.928,1,0.0547,0.202,9e-05,0.28,0.416,179.561,4,175.2
79cuOz3SPQTuFrp8WgftAu,0.857,0.8,2,-4.035,1,0.0583,0.381,0.0,0.0913,0.966,121.996,4,199.44
0tKcYR2II1VCQWT79i5NrW,0.6,0.81,0,-4.749,1,0.0479,0.00683,0.21,0.155,0.298,167.88,4,187.147
1ndE0rSXw5nlCyJ4eletzq,0.698,0.229,6,-17.818,1,0.87,0.746,0.0,0.158,0.624,136.439,3,283.267
7M1lOPZ7obkkzznia2OeVb,0.622,0.87,1,-5.325,1,0.0952,0.119,3.89e-05,0.437,0.32,140.014,4,331.267
3AFfyUXTfj12PgrOkZiiJo,0.748,0.819,10,-4.032,0,0.198,0.13,0.0,0.111,0.792,110.645,3,187.973
5uCax9HTNlzGybIStD3vDh,0.358,0.557,10,-7.398,1,0.059,0.695,0.0,0.0902,0.494,85.043,4,211.467
5WHVJ7MILL1r5xs8hDfJ4i,0.781,0.721,5,-9.133,0,0.0514,0.0945,0.391,0.104,0.849,123.011,4,250.337
465I5rJp4tgLMSwqkqmZOF,0.526,0.583,4,-9.172,1,0.376,0.699,0.0,0.372,0.378,89.835,4,305.374
3hB5DgAiMAQ4DzYbsMq1IT,0.609,0.378,4,-9.828,1,0.438,0.835,0.0,0.28,0.515,100.418,4,233.72
4pLwZjInHj3SimIyN9SnOz,0.648,0.738,6,-5.883,0,0.247,0.0408,0.0,0.292,0.603,159.145,4,226.16
3FiE2d325mIOc4YjkSLVJR,0.635,0.738,7,-4.424,0,0.0519,0.0192,0.0,0.15,0.428,130.971,4,194.84
7yHEDfrJNd0zWOfXwydNH0,0.636,0.727,9,-5.852,1,0.106,0.0161,1.12e-06,0.151,0.358,107.988,4,244.453
0Clb9aiXWa0dvVff5aN4VN,0.775,0.597,5,-5.666,1,0.159,0.36,0.0,0.156,0.537,122.069,4,184.909
6xH0uUKbHZsMefcoUPTuV8,0.737,0.734,1,-5.794,1,0.0562,0.0351,0.000108,0.168,0.518,96.987,4,211.758
7AEV4oGvHPn1DtAE7pLCXR,0.814,0.539,8,-8.48,0,0.171,0.277,0.0,0.0699,0.64,118.005,4,226.78
0dA2Mk56wEzDgegdC6R17g,0.679,0.634,5,-5.024,0,0.0654,0.232,0.0,0.115,0.498,102.013,4,210.091
0PAj9Y5kFEzhGeWkockoxv,0.741,0.626,1,-4.826,0,0.0886,0.02,0.0,0.0828,0.706,108.029,4,188.493
6cpjHSaH0xK3Lz6FqUniHm,0.737,0.585,5,-6.252,1,0.0975,0.186,0.0,0.115,0.693,147.064,4,181.003
0azC730Exh71aQlOt9Zj3y,0.631,0.927,9,-2.787,0,0.0332,0.199,0.119,0.148,0.465,123.962,4,222.16
0lMbuWUpfTWhEmOKxppEau,0.753,0.76,6,-4.518,0,0.0859,0.446,3.13e-05,0.182,0.657,91.953,4,272.653
1x5sYLZiu9r5E43kMlt9f8,0.707,0.629,0,-4.581,0,0.0563,0.259,1.6e-05,0.138,0.457,122.863,4,212.459
5BHWQ78pw9yIjIWa6p1z6G,0.653,0.737,1,-5.446,1,0.0388,0.0181,0.0,0.136,0.763,99.033,4,168.2
1tUAm8Yh22BFkAT7T3hiLk,0.689,0.627,6,-6.138,1,0.0453,0.0232,0.0,0.228,0.382,119.968,4,208.187
3A7qX2QjDlPnazUsRk5y0M,0.548,0.65,8,-5.827,0,0.0591,0.219,0.0,0.225,0.557,144.937,4,194.897
1Sl3njkhhz8nrSPZroDQ82,0.678,0.819,8,-3.306,1,0.0313,0.191,0.0,0.159,0.499,90.004,4,184.248
6m3ZWIXhjoV76syT1j2oE9,0.631,0.661,5,-5.5,0,0.0999,0.227,1.43e-06,0.166,0.698,174.031,4,178.333
1sNSG13fsK6KPKKNIQXXrh,0.407,0.725,5,-5.346,0,0.188,0.0141,2.46e-06,0.306,0.247,196.093,4,247.267
7hDc8b7IXETo14hHIHdnhd,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,4,298.941
5o2r7507gCOYdRMeR3noqZ,0.928,0.481,9,-9.35,0,0.287,0.105,0.0,0.176,0.613,134.007,4,210.937
7IVQ3HgoP3SRoJqxym4nBD,0.813,0.551,6,-7.605,0,0.353,0.08,0.0,0.386,0.598,124.957,4,250.77
3ebXMykcMXOcLeJ9xZ17XH,0.584,0.54,1,-7.786,0,0.0576,0.0895,0.0,0.261,0.195,137.972,4,220.883
1vTntttEXlVHk4uj1vtVEe,0.661,0.651,7,-3.771,0,0.0499,0.117,1.32e-05,0.056,0.368,87.46,4,202.915
41Fflg7qHiVOD6dEPvsCzO,0.884,0.765,8,-3.865,1,0.0882,0.063,7.04e-06,0.118,0.594,99.987,4,224.573
7GJClzimvMSghjcrKxuf1M,0.714,0.451,5,-8.268,1,0.0276,0.0883,0.0,0.108,0.406,127.787,4,200.72
0jIa8Bckzoy7bgURBZXxNB,0.756,0.77,1,-3.502,1,0.0343,0.191,0.0,0.178,0.73,119.961,4,246.467
76VIeWBjKpbdopgWSmLSv4,0.498,0.609,3,-6.325,1,0.0945,0.343,0.0,0.126,0.277,148.086,4,178.32
5Ohxk2dO5COHF1krpoPigN,0.516,0.595,5,-4.63,1,0.0313,0.0275,0.0,0.109,0.222,119.972,4,340.707
5kRPPEWFJIMox5qIkQkiz5,0.427,0.262,7,-8.541,1,0.0276,0.746,0.0,0.068,0.228,104.085,4,224.867
4IWAyPf1KMq7JCyGeCjTeH,0.675,0.649,1,-4.953,1,0.0315,0.0429,0.0,0.128,0.537,134.955,4,201.24
213x4gsFDm04hSqIUkg88w,0.631,0.924,0,-5.589,1,0.146,0.0841,3.59e-06,0.084,0.755,100.045,4,192.28
5qrG9Ea6hen3VavTg9vQz9,0.537,0.485,2,-8.131,1,0.0332,0.102,3.83e-06,0.319,0.293,152.012,4,224.813
6p04v7mjEe4DuHXWzzdv8E,0.666,0.317,11,-8.387,1,0.0395,0.921,0.0,0.709,0.351,117.692,4,236.787
0FTZt8lGNnCNnVRq4Z3AzR,0.493,0.234,6,-10.87,1,0.029,0.85,3.63e-06,0.0976,0.361,87.684,4,220.867
09BoTSQdcXgaN5AeozxArT,0.514,0.344,11,-11.074,0,0.0329,0.811,2.45e-06,0.102,0.206,98.065,4,250.347
4y0DIa6UVVeoby0vwMcUwN,0.55,0.261,2,-12.304,1,0.0378,0.485,0.0,0.139,0.31,74.096,4,215.987
502snqO8SNGLJef5ZLqlYH,0.521,0.401,2,-9.157,1,0.037,0.662,0.0,0.118,0.224,144.641,4,220.773
2IW6VfVQYgoTXxVBz0CcPL,0.424,0.451,5,-8.817,1,0.0626,0.09,0.00048,0.11,0.212,129.768,5,272.6
1KTEKQSRm3zRMQcDw63r7g,0.683,0.913,5,-5.352,1,0.035,0.0102,5.19e-05,0.274,0.854,125.039,4,228.12
3bWAqKDWg6u1davspr5IkS,0.653,0.81,7,-6.032,0,0.0558,0.118,0.0,0.126,0.583,121.951,4,189.307
0vg4WnUWvze6pBOJDTq99k,0.675,0.479,0,-9.87,0,0.0278,0.633,1.76e-05,0.088,0.454,81.998,4,209.493
1OozJMmjaGAgX8WPTTMpcG,0.512,0.245,2,-8.828,0,0.0338,0.851,0.0,0.131,0.266,93.971,4,178.355
6atZCdBGa3A5S4PvonN7YV,0.459,0.274,6,-6.972,1,0.036,0.916,0.0,0.122,0.375,148.212,3,162.772
04czWbqg96KSO8Szz8d0zp,0.592,0.632,0,-6.229,1,0.0766,0.00325,1.27e-06,0.116,0.229,105.734,4,176.843
4LEwM7rLhFvzCXeG2KgINS,0.491,0.812,6,-5.191,0,0.0482,0.00947,7.02e-06,0.104,0.715,82.912,4,219.227
4xlrALxuaCf9yZBHJeTSG6,0.741,0.79,11,-4.086,0,0.0469,0.113,0.0,0.0542,0.528,104.043,4,184.134
1D3ODoXHBLpdxolZRHWV1j,0.696,0.743,6,-3.838,1,0.0331,0.0778,0.0,0.0581,0.644,122.978,4,201.254
69bp2EbF7Q2rqc5N3ylezZ,0.654,0.76,0,-3.669,0,0.045,0.0797,0.0,0.299,0.41,99.945,4,200.787
09mhA1SJjMHniZPF4Hcihn,0.59,0.797,4,-4.901,0,0.0614,0.132,0.0,0.0846,0.425,94.948,4,208.12
2kVHAQKVtczchKctctzbtK,0.836,0.716,5,-5.211,0,0.0549,0.0196,1.83e-05,0.101,0.534,119.938,4,242.51
6520aj0B4FSKGVuKNsOCOi,0.448,0.801,0,-5.363,1,0.165,0.0733,0.0,0.146,0.462,189.798,4,237.734
4cGeMgLcykDLAazHFpbZbU,0.636,0.517,0,-6.759,1,0.36,0.00402,0.0,0.0874,0.394,139.928,4,185.947
12q7yTtyZfJjObmss6FQi3,0.628,0.603,9,-7.117,1,0.0567,0.293,0.0112,0.134,0.234,140.085,4,212.107
6bqHegYlJ2ihL0rw3uW65e,0.582,0.112,7,-17.008,0,0.0436,0.976,0.953,0.1,0.0679,95.012,4,128.547
2KHGTpNTXeD9Z9GjaKTwAV,0.551,0.59,0,-7.309,0,0.209,0.225,0.0,0.102,0.674,180.101,4,194.333
0gbBzIqrECJOEPvQJIBFs5,0.616,0.714,9,-7.792,1,0.0982,0.0162,1.23e-05,0.0817,0.24,128.924,4,234.653
5IF6IBPqbclVR7SQKmCIyA,0.703,0.628,0,-5.914,1,0.203,0.364,0.0,0.384,0.471,138.032,4,205.217
5b719srfWk2MiDa86ZpJ8u,0.738,0.814,7,-4.414,0,0.0999,0.132,9.64e-06,0.126,0.483,119.041,4,225.85
6DNtNfH8hXkqOX1sjqmI7p,0.608,0.798,6,-5.092,0,0.0432,0.0736,0.0,0.156,0.501,92.943,4,185.352
494OU6M7NOf4ICYb4zWCf5,0.748,0.788,1,-7.055,1,0.0334,0.0591,0.0,0.0863,0.884,120.076,4,235.493
16pwlVsypm4aDKMhXdOuXg,0.279,0.742,4,-6.46,0,0.0898,0.000185,0.0,0.593,0.328,189.868,4,231.013
7oKM2Cnm2VrFyVxGyC3CLp,0.644,0.866,1,-5.687,0,0.0341,0.0121,0.0,0.0719,0.39,114.927,4,226.96
6jA8HL9i4QGzsj6fjoxp8Y,0.611,0.644,6,-7.607,0,0.0553,0.124,0.0,0.124,0.13,105.969,4,221.904
5M9jOReAKGZ2AttVefFjTY,0.575,0.831,0,-5.972,1,0.0356,0.00406,0.000449,0.111,0.377,127.991,4,223.14
167NczpNbRF7oWakJaY3Hh,0.728,0.426,0,-6.69,1,0.0509,0.0142,0.0,0.0546,0.844,85.908,4,188.174
2wJhFcye5iiW2mVBpGednz,0.653,0.623,6,-5.273,0,0.082,0.253,0.0,0.144,0.401,123.999,4,234.213
2K87XMYnUMqLcX3zvtAF4G,0.73,0.703,0,-5.672,0,0.0369,0.109,0.0,0.0657,0.595,138.113,4,192.12
3gfmFoJgmn9LiIj5mV8oSS,0.652,0.595,6,-6.944,0,0.0419,0.162,0.0,0.148,0.303,77.538,4,156.0
7dpnZJj7ITXcnmbmLIdEqs,0.579,0.578,3,-5.361,1,0.0283,0.0304,0.000229,0.1,0.356,78.582,4,196.433
